timestamp,agent.name,rule.description,rule.level,rule.id
"May 24, 2025 @ 13:16:15.073","windows","C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe","4","92066"
"May 24, 2025 @ 13:16:13.395","windows","Powershell process created an executable file in Windows root folder","9","92205"
"May 24, 2025 @ 13:16:12.455","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:16:12.417","windows","⚠ Network connection initiated by net.exe — possible system-level command","12","100060"
"May 24, 2025 @ 13:16:12.402","windows","⚠ Network connection initiated by net.exe — possible system-level command","12","100060"
"May 24, 2025 @ 13:16:12.402","windows","A net.exe account discovery command was initiated","3","92039"
"May 24, 2025 @ 13:16:12.363","windows","A net.exe account discovery command was initiated","3","92039"
"May 24, 2025 @ 13:16:12.330","windows","A net.exe account discovery command was initiated","3","92039"
"May 24, 2025 @ 13:16:12.330","windows","⚠ Network connection initiated by net.exe — possible system-level command","12","100060"
"May 24, 2025 @ 13:16:12.292","windows","⚠ Network connection initiated by net.exe — possible system-level command","12","100060"
"May 24, 2025 @ 13:16:12.279","windows","A net.exe account discovery command was initiated","3","92039"
"May 24, 2025 @ 13:16:11.556","windows","⚠ Network connection initiated by net.exe — possible system-level command","12","100060"
"May 24, 2025 @ 13:16:11.544","windows","A net.exe account discovery command was initiated","3","92039"
"May 24, 2025 @ 13:16:11.515","windows","⚠ Network connection initiated by net.exe — possible system-level command","12","100060"
"May 24, 2025 @ 13:16:11.499","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:16:11.481","windows","⚠ Network connection initiated by net.exe — possible system-level command","12","100060"
"May 24, 2025 @ 13:16:11.456","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:16:11.440","windows","⚠ Network connection initiated by net.exe — possible system-level command","12","100060"
"May 24, 2025 @ 13:16:11.425","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:16:11.405","windows","⚠ Network connection initiated by net.exe — possible system-level command","12","100060"
"May 24, 2025 @ 13:16:11.392","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:16:11.391","windows","⚠ Network connection initiated by net.exe — possible system-level command","12","100060"
"May 24, 2025 @ 13:16:11.364","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:16:11.363","windows","⚠ Network connection initiated by net.exe — possible system-level command","12","100060"
"May 24, 2025 @ 13:16:11.318","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:16:11.302","windows","⚠ Network connection initiated by net.exe — possible system-level command","12","100060"
"May 24, 2025 @ 13:16:11.302","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:16:11.268","windows","⚠ Network connection initiated by net.exe — possible system-level command","12","100060"
"May 24, 2025 @ 13:16:11.253","windows","⚠ Network connection initiated by net.exe — possible system-level command","12","100060"
"May 24, 2025 @ 13:16:11.253","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:16:11.233","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:16:10.057","windows","⚠ Network connection initiated by net.exe — possible system-level command","12","100060"
"May 24, 2025 @ 13:16:08.943","windows","Wazuh agent started.","3","503"
"May 24, 2025 @ 13:16:04.745","windows","Wazuh agent stopped.","3","506"
"May 24, 2025 @ 13:15:49.553","windows","Summary event of the report's signatures.","4","60608"
"May 24, 2025 @ 13:15:45.889","windows","Windows application error event.","9","60602"
"May 24, 2025 @ 13:15:31.961","kali","Wazuh server started.","3","502"
"May 24, 2025 @ 13:15:29.137","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 24, 2025 @ 13:15:29.137","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 24, 2025 @ 13:15:29.136","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 24, 2025 @ 13:15:29.136","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 24, 2025 @ 13:15:29.136","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 24, 2025 @ 13:15:26.943","kali","PAM: Login session closed.","3","5502"
"May 24, 2025 @ 13:15:22.986","kali","Listened ports status (netstat) changed (new port opened or closed).","7","533"
"May 24, 2025 @ 13:15:22.565","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 24, 2025 @ 13:15:22.563","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 24, 2025 @ 13:15:22.560","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 24, 2025 @ 13:15:22.553","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 24, 2025 @ 13:15:22.553","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 24, 2025 @ 13:15:22.553","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 24, 2025 @ 13:15:06.583","kali","PAM: Login session closed.","3","5502"
"May 24, 2025 @ 13:11:04.271","kali","PAM: Login session opened.","3","5501"
"May 24, 2025 @ 13:11:04.270","kali","Successful sudo to ROOT executed.","3","5402"
"May 24, 2025 @ 13:09:50.284","windows","C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe","4","92066"
"May 24, 2025 @ 13:09:48.053","windows","Powershell process created an executable file in Windows root folder","9","92205"
"May 24, 2025 @ 13:09:47.296","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:47.283","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:47.240","windows","A net.exe account discovery command was initiated","3","92039"
"May 24, 2025 @ 13:09:47.239","windows","A net.exe account discovery command was initiated","3","92039"
"May 24, 2025 @ 13:09:47.196","windows","A net.exe account discovery command was initiated","3","92039"
"May 24, 2025 @ 13:09:47.194","windows","A net.exe account discovery command was initiated","3","92039"
"May 24, 2025 @ 13:09:47.173","windows","A net.exe account discovery command was initiated","3","92039"
"May 24, 2025 @ 13:09:47.157","windows","A net.exe account discovery command was initiated","3","92039"
"May 24, 2025 @ 13:09:47.146","windows","A net.exe account discovery command was initiated","3","92039"
"May 24, 2025 @ 13:09:47.146","windows","A net.exe account discovery command was initiated","3","92039"
"May 24, 2025 @ 13:09:47.112","windows","A net.exe account discovery command was initiated","3","92039"
"May 24, 2025 @ 13:09:47.096","windows","A net.exe account discovery command was initiated","3","92039"
"May 24, 2025 @ 13:09:47.075","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:47.047","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:47.047","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:47.002","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:47.002","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:47.002","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:46.035","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:46.014","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:45.997","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:45.991","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:45.949","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:45.931","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:45.931","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:45.926","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:44.866","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:44.853","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:44.835","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:44.833","windows","Discovery activity executed","3","92031"
"May 24, 2025 @ 13:09:43.748","windows","Wazuh agent started.","3","503"
"May 24, 2025 @ 13:09:41.316","windows","Wazuh agent stopped.","3","506"
"May 24, 2025 @ 13:09:36.163","kali","PAM: Login session closed.","3","5502"
"May 24, 2025 @ 13:09:26.139","kali","PAM: Login session closed.","3","5502"
"May 24, 2025 @ 13:09:26.139","kali","PAM: Login session closed.","3","5502"
"May 24, 2025 @ 13:06:01.693","windows","Service startup type was changed","3","61104"
"May 24, 2025 @ 13:03:23.691","kali","PAM: Login session opened.","3","5501"
"May 24, 2025 @ 13:03:23.690","kali","PAM: Login session opened.","3","5501"
"May 24, 2025 @ 13:03:23.690","kali","PAM: Login session opened.","3","5501"
"May 24, 2025 @ 13:01:49.566","windows","Service startup type was changed","3","61104"
