timestamp,agent.name,rule.description,rule.level,rule.id
"May 20, 2025 @ 15:22:10.790","kali","PAM: Login session closed.","3","5502"
"May 20, 2025 @ 15:22:10.790","kali","PAM: Login session closed.","3","5502"
"May 20, 2025 @ 15:21:29.693","windows","Software protection service scheduled successfully.","3","60642"
"May 20, 2025 @ 15:20:54.763","windows","Windows Logon Success","3","60106"
"May 20, 2025 @ 15:20:14.561","windows","Non service account logged off.","3","67023"
"May 20, 2025 @ 15:20:14.526","windows","Non service account logged off.","3","67023"
"May 20, 2025 @ 15:20:12.079","windows","Non service account logged off.","3","67023"
"May 20, 2025 @ 15:20:10.981","windows","Special privileges assigned to new logon.","3","67028"
"May 20, 2025 @ 15:20:10.953","windows","Special privileges assigned to new logon.","3","67028"
"May 20, 2025 @ 15:20:10.939","windows","Non network or service local logon.","3","67022"
"May 20, 2025 @ 15:20:10.920","windows","Non network or service local logon.","3","67022"
"May 20, 2025 @ 15:20:10.904","windows","Non network or service local logon.","3","67022"
"May 20, 2025 @ 15:20:10.892","windows","Windows User Logoff","3","60137"
"May 20, 2025 @ 15:20:09.520","windows","Windows Logon Success","3","60106"
"May 20, 2025 @ 15:20:09.505","windows","Logon Failure - Unknown user or bad password","5","60122"
"May 20, 2025 @ 15:20:09.485","windows","Successful Remote Logon Detected - User:\Administrator - NTLM authentication, possible pass-the-hash attack - Possible RDP connection. Verify that DESKTOP-4LL2QQL is allowed to perform RDP connections","6","92657"
"May 20, 2025 @ 15:20:09.464","windows","Special privileges assigned to new logon.","3","67028"
"May 20, 2025 @ 15:20:08.577","windows","Multiple Windows Logon Failures","10","60204"
"May 20, 2025 @ 15:20:08.563","windows","Logon Failure - Unknown user or bad password","5","60122"
"May 20, 2025 @ 15:20:08.556","windows","Logon Failure - Unknown user or bad password","5","60122"
"May 20, 2025 @ 15:20:08.546","windows","Logon Failure - Unknown user or bad password","5","60122"
"May 20, 2025 @ 15:20:05.557","windows","Logon Failure - Unknown user or bad password","5","60122"
"May 20, 2025 @ 15:20:05.522","windows","Logon Failure - Unknown user or bad password","5","60122"
"May 20, 2025 @ 15:20:05.499","windows","Logon Failure - Unknown user or bad password","5","60122"
"May 20, 2025 @ 15:20:05.464","windows","Logon Failure - Unknown user or bad password","5","60122"
"May 20, 2025 @ 15:19:11.495","windows","Software protection service scheduled successfully.","3","60642"
"May 20, 2025 @ 15:18:37.446","windows","Service startup type was changed","3","61104"
"May 20, 2025 @ 15:18:37.270","windows","Windows Logon Success","3","60106"
"May 20, 2025 @ 15:18:16.288","windows","Windows Logon Success","3","60106"
"May 20, 2025 @ 15:18:05.756","windows","Windows Logon Success","3","60106"
"May 20, 2025 @ 15:17:36.709","windows","Windows Logon Success","3","60106"
"May 20, 2025 @ 15:17:27.832","windows","Windows Logon Success","3","60106"
"May 20, 2025 @ 15:17:27.471","windows","License activation (slui.exe) failed.","5","60646"
"May 20, 2025 @ 15:17:25.646","windows","Windows Logon Success","3","60106"
"May 20, 2025 @ 15:17:25.636","windows","Windows Logon Success","3","60106"
"May 20, 2025 @ 15:17:23.778","windows","Windows Logon Success","3","60106"
"May 20, 2025 @ 15:17:22.702","windows","Windows audit failure event","5","60104"
"May 20, 2025 @ 15:17:22.702","windows","Windows audit failure event","5","60104"
"May 20, 2025 @ 15:17:22.669","windows","Windows audit failure event","5","60104"
"May 20, 2025 @ 15:17:22.633","windows","Windows Logon Success","3","60106"
"May 20, 2025 @ 15:17:22.619","windows","Windows Logon Success","3","60106"
"May 20, 2025 @ 15:17:22.591","windows","Windows Logon Success","3","60106"
"May 20, 2025 @ 15:17:19.704","windows","Special privileges assigned to new logon.","3","67028"
"May 20, 2025 @ 15:17:19.701","windows","Windows Workstation Logon Success","3","60118"
"May 20, 2025 @ 15:17:00.543","windows","Windows Logon Success","3","60106"
"May 20, 2025 @ 15:17:00.489","windows","Non service account logged off.","3","67023"
"May 20, 2025 @ 15:17:00.486","windows","Non service account logged off.","3","67023"
"May 20, 2025 @ 15:16:59.246","windows","Special privileges assigned to new logon.","3","67028"
