timestamp,agent.name,rule.description,rule.level,rule.id
"May 28, 2025 @ 13:57:14.769","DESKTOP-3LB6CRU","C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe","4","92066"
"May 28, 2025 @ 13:57:09.425","DESKTOP-3LB6CRU","Phishing Indicator: Scripting file and EXE created via PowerShell within 60 seconds","12","17201"
"May 28, 2025 @ 13:57:07.829","DESKTOP-3LB6CRU","Custom Alert: Scripting file created under Temp or User folder (potential phishing)","10","17200"
"May 28, 2025 @ 13:57:07.823","DESKTOP-3LB6CRU","Custom Alert: Scripting file created under Temp or User folder (potential phishing)","10","17200"
"May 28, 2025 @ 13:57:07.819","DESKTOP-3LB6CRU","Custom Alert: Scripting file created under Temp or User folder (potential phishing)","10","17200"
"May 28, 2025 @ 13:57:07.799","DESKTOP-3LB6CRU","Custom Alert: Scripting file created under Temp or User folder (potential phishing)","10","17200"
"May 28, 2025 @ 13:57:05.353","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 28, 2025 @ 13:57:03.821","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 13:57:03.821","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 28, 2025 @ 13:57:02.718","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 13:57:01.629","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 13:57:01.564","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 13:56:56.901","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 13:56:55.420","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 13:56:55.374","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 13:56:54.299","DESKTOP-3LB6CRU","Custom Alert: Scripting file created under Temp or User folder (potential phishing)","10","17200"
"May 28, 2025 @ 13:56:54.299","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 13:56:54.296","DESKTOP-3LB6CRU","Custom Alert: Scripting file created under Temp or User folder (potential phishing)","10","17200"
"May 28, 2025 @ 13:56:54.279","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 28, 2025 @ 13:56:53.190","DESKTOP-3LB6CRU","Custom Alert: Scripting file created under Temp or User folder (potential phishing)","10","17200"
"May 28, 2025 @ 13:56:53.134","DESKTOP-3LB6CRU","Custom Alert: Scripting file created under Temp or User folder (potential phishing)","10","17200"
"May 28, 2025 @ 13:56:49.435","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
